index,filename,md5,true_label,pred_label,prob_pred,prob_true,confusion_var,difficulty,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9
5014,05014_1_automobile.png,e395f21f864af4a818ac5ff35a53498b,1,1,1.0,1.0,0.0,0.0,7.932250412068242e-10,1.0,5.729268622023387e-12,1.0895242173736275e-11,3.236533870770719e-12,1.0319698220961904e-11,2.5703654482622795e-11,1.1635570978940635e-11,6.458158452460339e-09,9.86242199019216e-09
5144,05144_1_automobile.png,8b735baae893f657f79234fffbfc4290,1,1,1.0,1.0,0.0,0.0,7.611420521635992e-11,1.0,3.804872215906752e-12,4.521138671775837e-12,3.0887638367144143e-12,1.3572597039324119e-11,5.3307632613686096e-11,5.130944280562488e-12,2.750148775376715e-09,9.780614540488841e-09
5145,05145_9_truck.png,2204df5362ff072c75083b071ad1e1af,9,9,1.0,1.0,0.0,0.0,1.5397040309395038e-09,4.041807244448137e-08,5.2053996529854984e-11,3.421965835692653e-11,2.13742782154136e-12,1.7453406775391755e-11,2.606275265049085e-11,8.041701332617279e-11,6.608809610675337e-10,1.0
5232,05232_1_automobile.png,84576942f9d53d85ee5df4610f76c6b6,1,1,1.0,1.0,0.0,0.0,1.595477777671661e-10,1.0,8.445069296647567e-12,1.9419462565783974e-11,1.5466450819720534e-12,2.031233167776314e-11,6.799903001786234e-11,1.4236932813216363e-11,2.463121484552744e-09,6.694194087941696e-09
5786,05786_4_deer.png,0fb4cec519d3e14b3d29728bf0bb408a,4,4,1.0,1.0,0.0,0.0,3.7354558335422894e-10,1.0141958106668625e-10,1.0555274876367093e-08,3.5798150554988695e-10,1.0,3.523545899497549e-08,2.3224528966636626e-09,2.2935191523743015e-08,1.1859478676878865e-10,2.6008030798441162e-11
6055,06055_8_ship.png,33d9f54b19b1508ce247241b37860520,8,8,1.0,1.0,0.0,0.0,9.917238585899213e-09,2.0619281837497283e-09,1.1573342284521004e-09,1.425215501171806e-10,7.617172170792941e-11,1.1137932937055339e-10,4.109348417102865e-09,2.1195578278621063e-11,1.0,1.451633369065064e-09
6121,06121_1_automobile.png,5b7e2194933192d93d9b66cf5fa10c68,1,1,1.0,1.0,0.0,0.0,1.8388732758722881e-09,1.0,5.431364039076847e-11,1.4078323229416156e-10,2.9481975888367984e-11,1.6891217591297192e-10,3.748266697023439e-10,8.951083624308964e-11,1.6403145508547823e-08,4.326288305378512e-08
6435,06435_8_ship.png,d571b06c3422e3cdd8991c6cb241080b,8,8,1.0,1.0,0.0,0.0,6.962918241981697e-09,7.411408375901374e-09,2.02115144065651e-10,4.206240911130976e-11,1.4108349211117144e-10,3.299092596331654e-11,4.339240078365947e-11,2.0045888560193958e-10,1.0,3.78684994473133e-09
6517,06517_6_frog.png,629d1a45498bf4ed93e0dcd72594a0b5,6,6,1.0,1.0,0.0,0.0,6.778010375185772e-10,2.116171771149311e-08,2.7446741768244465e-08,1.1263711741094085e-08,6.8591137214468745e-09,4.843815126776008e-09,1.0,1.0371922209984064e-09,3.2694927654119965e-08,1.3858586500603565e-09
6536,06536_6_frog.png,71adfc3e2ffd27f819f74331a1f03e1e,6,6,1.0,1.0,0.0,0.0,3.896874489761615e-10,1.4940106041194667e-08,9.627603603235002e-09,4.919672225156546e-09,6.103986205374667e-09,1.3988588953850467e-08,1.0,2.3842341989599447e-10,1.0352539270286343e-08,7.141139901634119e-10
6718,06718_8_ship.png,01e13cd832a6adcfa5b79db0efd53a9f,8,8,1.0,1.0,0.0,0.0,2.0233827058291354e-08,3.033866047275069e-09,1.9127446848621332e-10,3.8665340373889023e-10,2.884731342689406e-10,3.224064765161572e-11,5.367628563845983e-10,4.742301343285682e-11,1.0,2.8922584327517598e-09
6862,06862_8_ship.png,7c61127aa16b77c4d715d426a57173d5,8,8,1.0,1.0,0.0,0.0,8.141873841793767e-09,9.757412655631015e-10,5.4224000289870844e-11,9.772955014697438e-12,2.4661038836026883e-11,1.1873415445284863e-11,2.387190965735808e-11,1.612966704644947e-11,1.0,4.2643449660317856e-08
7042,07042_9_truck.png,a93a49979048e8ed2435c7bb118971be,9,9,1.0,1.0,0.0,0.0,5.323348983843346e-10,5.682483461555421e-08,3.859398044203655e-12,1.6660393897804937e-10,1.0595413435510181e-12,5.7767818306686536e-12,9.484150444161177e-12,5.61266311205344e-11,2.0562020974779216e-09,1.0
7124,07124_1_automobile.png,43092c4a303a02831c544a35f5d37a6c,1,1,1.0,1.0,0.0,0.0,3.8972294141847996e-11,1.0,1.6912121659704016e-12,2.988780447091277e-12,1.9571911365895422e-12,1.156190160972459e-11,1.0346759039825404e-11,4.285012882715433e-12,1.9576495979833908e-09,1.503937419045087e-08
7247,07247_6_frog.png,6d6a34d2c83122b102a51bbb4c869660,6,6,1.0,1.0,0.0,0.0,1.4207407472710543e-09,3.0647740345557395e-08,1.043568520486815e-08,1.501094359923627e-08,5.677388781322179e-09,7.610731600493637e-09,1.0,4.3927955717393274e-10,3.475780019357444e-08,2.6140194453461163e-09
7453,07453_9_truck.png,3f574d9f9898c3c86d53dca1dfe72d48,9,9,1.0,1.0,0.0,0.0,5.532483360326523e-10,3.029461126402566e-08,8.764710962214095e-13,4.5387756053560935e-11,5.237892368101238e-13,1.999847553182943e-12,6.906732564343487e-12,9.30186309922032e-12,8.951510366284054e-11,1.0
7534,07534_8_ship.png,c3fa48cf5d4e753457ba4000e76cf6ff,8,8,1.0,1.0,0.0,0.0,7.291840464773713e-10,1.3753274907823965e-10,1.0335916844628201e-10,8.133340355376273e-12,1.0082022022794845e-12,2.8616130732378453e-12,3.0424392172268e-11,8.109051624627384e-12,1.0,1.4226571309894354e-10
7738,07738_1_automobile.png,ed2c395d748da385882ed55d29faf0d3,1,1,1.0,1.0,0.0,0.0,6.139850433628524e-11,1.0,1.9746081939692184e-12,2.245878830131609e-12,1.2926056709369749e-12,5.723862356310505e-12,3.0372617615403996e-11,1.5549131426872975e-11,2.514141783649393e-09,7.267226820317774e-09
7994,07994_6_frog.png,1170085457ce6fb4858be5a424dfce48,6,6,1.0,1.0,0.0,0.0,2.8978008881352935e-10,1.1954871537156464e-09,4.282012966427828e-09,6.659363727123946e-09,2.297699586151225e-09,2.0996224758818016e-09,1.0,2.1747367795477146e-10,4.8880388625605065e-09,2.502676954563299e-10
8280,08280_2_bird.png,6f4add64664e40e2c1c65877ce26ea56,2,2,1.0,1.0,0.0,0.0,2.9074409546581137e-09,9.712857254595697e-12,1.0,1.8753518182812456e-10,2.52485787832768e-09,6.192617085787333e-09,5.000921454723084e-09,5.94369053974475e-10,1.412612110618383e-10,8.507782152389343e-12
8426,08426_1_automobile.png,bb34fef5dc5467b3eabdf2e2262b2c9b,1,1,1.0,1.0,0.0,0.0,1.470408343695606e-11,1.0,3.825385321010177e-12,1.2811162720949287e-12,1.1297490720707515e-12,1.1658097230637932e-11,1.9425093478186994e-11,1.0298286529097922e-11,4.1652810089942705e-09,8.789069916304015e-09
8653,08653_7_horse.png,b81fbaa40b4bdb315a97b054cc30cffe,7,7,1.0,1.0,0.0,0.0,2.386178366009517e-09,1.105741831430862e-09,1.2674250537969556e-09,5.534425695508105e-10,1.008873695695911e-08,5.021061966203888e-08,2.564852219499869e-10,1.0,1.5888879101311204e-10,5.656689339161858e-09
8665,08665_8_ship.png,f457acd4ca1624faceef77882d1a269f,8,8,1.0,1.0,0.0,0.0,1.065373744779663e-08,2.0099605313461666e-10,6.556047371653051e-12,1.4946660445783189e-12,1.0029380104192853e-11,1.5109583506242585e-12,4.278968672444261e-12,1.2582125012011725e-12,1.0,7.09909464546854e-10
8690,08690_1_automobile.png,42cc217338648413349e3abe02ce516a,1,1,1.0,1.0,0.0,0.0,1.0927699856111417e-09,1.0,8.109380528198429e-11,2.562632328562131e-10,7.577279081960597e-11,3.650121038756282e-10,6.307565580954133e-10,2.1537749361755232e-10,1.9340941292966818e-08,5.443756023737478e-08
8718,08718_7_horse.png,123bb586333536dc249176aeba64ed79,7,7,1.0,1.0,0.0,0.0,4.888223159582594e-10,1.5017229126890186e-10,1.8328005779721934e-10,8.4834972380321e-11,1.3912303309382423e-08,4.1150212126694896e-08,1.3763569173264045e-09,1.0,2.1395712979099812e-10,9.333804562583481e-11
8841,08841_9_truck.png,d3215bc1b8cde5a430452a4aed1ef82f,9,9,1.0,1.0,0.0,0.0,2.3833157669628235e-10,4.120401086993297e-08,7.639104735064628e-13,7.25234455822843e-12,4.577031028490941e-13,6.147261519262592e-13,3.768873234333281e-12,8.294325296032135e-12,5.092564703268465e-10,1.0
8949,08949_6_frog.png,551d231feb8c6447224bb09668228a89,6,6,1.0,1.0,0.0,0.0,8.554209424138648e-11,8.28370927408173e-10,2.373929108845374e-10,8.771814941077594e-10,3.322820352202882e-10,4.606895420700141e-10,1.0,3.634890305415084e-11,1.3466936454875622e-09,2.8230331960976685e-10
8955,08955_9_truck.png,2bab23a0a290678f82cc57cdcb7bc3be,9,9,1.0,1.0,0.0,0.0,4.032637765383207e-11,4.128661501567876e-08,3.0389506557905455e-13,5.871021984543701e-12,1.6831597693302974e-13,2.3437726911178236e-13,5.630584973964625e-13,1.1348589169096757e-12,1.190839510334385e-10,1.0
9344,09344_8_ship.png,cbd005bcc4a0df5aae7492cf30894f4b,8,8,1.0,1.0,0.0,0.0,2.025433154528855e-08,9.533654976578987e-10,4.5638656742674755e-10,3.3926556008978537e-11,6.389343915058632e-11,2.466127302369614e-11,1.9909816850738338e-10,9.12021291821219e-11,1.0,4.895232663670868e-09
9565,09565_1_automobile.png,3b664ad525b7f291f85966c94879324c,1,1,1.0,1.0,0.0,0.0,5.380633785745381e-11,1.0,1.2623717175752613e-11,2.6960723150531996e-12,1.5751267477825959e-12,1.7172265345810622e-11,2.207596952463753e-11,1.032082058705086e-11,2.61895505282439e-09,4.629193739447146e-08
9584,09584_1_automobile.png,0ffa42a7a144e031421eea56aff983ce,1,1,1.0,1.0,0.0,0.0,1.0606869549345532e-10,1.0,9.844102095979412e-12,4.145966556179381e-12,3.677328840739902e-12,2.571807176943164e-11,2.3714491481641176e-10,2.104840954308962e-11,2.992059044970574e-09,1.3081020711069868e-08
9672,09672_7_horse.png,a76ec910babdb9e36346382669fd68bd,7,7,1.0,1.0,0.0,0.0,4.201027112987754e-12,1.4838408279871373e-12,5.265902731227401e-12,3.1654394817143272e-12,4.998945146716949e-10,3.963161354647582e-09,5.958402716534084e-13,1.0,8.425114447242754e-13,1.240105240718492e-12
9730,09730_8_ship.png,9efb78f59810208249b587e744ac62ae,8,8,1.0,1.0,0.0,0.0,1.9880770807390036e-08,2.5450017204775577e-08,3.5172206480638124e-08,8.096742720731243e-10,2.3853760633407717e-10,8.402740170332379e-10,2.973580270904108e-09,8.097962855835306e-10,1.0,2.1222632540229824e-08
10055,10055_4_deer.png,08143315b9f3aaf3d48c4b529887a683,4,4,1.0,1.0,0.0,0.0,9.877891837817288e-10,6.652510573662562e-12,1.204710109448115e-08,1.1041670355815825e-10,1.0,1.9526440186989902e-10,1.1018702616993892e-09,2.9521172173474497e-09,3.131662706934435e-10,9.713320425763783e-12
10068,10068_8_ship.png,ca656ca00e4b686c135933e1f40b4b40,8,8,1.0,1.0,0.0,0.0,4.061769232066581e-08,3.437540385675675e-08,1.8353761843670213e-09,6.513662942353449e-10,4.9993904849277016e-11,3.3404415344939764e-10,6.657442930269042e-10,6.581776235137227e-10,1.0,7.482784170065315e-09
10102,10102_8_ship.png,0c6fdbe9f2cd3da0f1c5ad1053089ea8,8,8,1.0,1.0,0.0,0.0,2.493802320202576e-08,2.923850606073586e-10,1.3300816177619357e-11,8.030079205745277e-12,6.41916944946197e-12,1.1493406053275645e-12,1.112599509051071e-11,2.487123137648317e-12,1.0,4.020475063981621e-10
10161,10161_9_truck.png,892835e6258e92757523cae2849a696c,9,9,1.0,1.0,0.0,0.0,1.302145717640979e-11,6.2319882587758e-10,2.0725322855613204e-15,1.8409540114127515e-13,1.2329570398911206e-15,8.783596137755534e-15,2.0955483306722353e-14,1.6351938520679093e-13,2.2634762987527868e-12,1.0
10190,10190_1_automobile.png,0b828d4fd47f343e6bd5b21a0c66b657,1,1,1.0,1.0,0.0,0.0,2.1487402135367262e-10,1.0,2.6017505858066947e-11,7.575628492573205e-12,4.491888198204785e-12,2.1022652368918315e-11,8.603313894628428e-11,2.973355936464195e-11,1.8882102992279215e-08,3.289089178792892e-08
10402,10402_8_ship.png,14e5628a986678a087169bc1c2f8ace6,8,8,1.0,1.0,0.0,0.0,2.1964282836961502e-08,9.95669946490807e-09,7.07790881460113e-10,8.55217077710968e-11,6.310562072897596e-10,8.231776371658839e-11,5.339028663620127e-10,9.15587397565254e-11,1.0,3.5471600767778e-08
10688,10688_8_ship.png,f1e0ee94d8d646bbfedb84c9b07bb455,8,8,1.0,1.0,0.0,0.0,4.642501139073829e-08,8.01800048577661e-09,1.0020818203004822e-10,1.630919566064648e-10,1.0341989764572901e-10,3.624740785301839e-11,1.2717735198286562e-10,6.44164235841238e-11,1.0,6.980603650674766e-09
10965,10965_8_ship.png,ce76e19dd97f9020869d710f3b7bc509,8,8,1.0,1.0,0.0,0.0,5.663944868672388e-09,3.4327213294105263e-10,2.2339604124899104e-11,8.493076901483487e-12,1.222431617736719e-11,2.1306829998263277e-12,3.669924086846521e-11,7.186894742522432e-12,1.0,1.5641768436047698e-10
10974,10974_8_ship.png,de0da54ac5def43860d372bf8baf1caa,8,8,1.0,1.0,0.0,0.0,9.266031830712507e-10,6.49110001860187e-11,8.077757213120762e-13,3.24310104595979e-13,1.1837319319196737e-12,1.166651410894337e-13,3.5559573406500344e-13,4.3069782224187947e-13,1.0,6.793836326846048e-11
10980,10980_8_ship.png,9aa7e4dfb4d21908697edda3a7434a11,8,8,1.0,1.0,0.0,0.0,2.3029084417203194e-08,8.216193059240595e-09,2.000772880705881e-10,2.8819634179111375e-11,1.6145765280306534e-11,8.312998726889287e-12,8.026117270798494e-11,1.325780891320294e-11,1.0,6.790147333290975e-10
11015,11015_2_bird.png,0dd2ddfdffdf614f324176339415d40e,2,2,1.0,1.0,0.0,0.0,1.3611912708100249e-09,1.1646266633372204e-12,1.0,6.532712149009967e-10,5.423189120001837e-10,7.329811202438918e-10,5.561727189906662e-10,2.450257774455622e-10,5.008555792329616e-10,1.4162614657420303e-11
11104,11104_9_truck.png,259715015e5e4abb2e58828c2be9a199,9,9,1.0,1.0,0.0,0.0,2.9302485438087444e-10,1.2597374698941621e-08,1.487252270122863e-12,1.3941901452763084e-11,3.0558650228329487e-13,1.880870025700032e-12,4.95997166949369e-12,9.541267081969451e-12,2.5786553448092775e-10,1.0
11207,11207_8_ship.png,3006fe46e08150fa745cb29b65fa3604,8,8,1.0,1.0,0.0,0.0,1.594913534574971e-08,4.7401811364977675e-09,3.0009619789161945e-10,2.521789721487977e-11,1.235088142870211e-10,2.895876594077862e-11,3.2750879785936604e-10,3.7846364930871346e-11,1.0,5.509413814053232e-09
11212,11212_6_frog.png,1ce549dfd349f7b72e7c101bc164a3e3,6,6,1.0,1.0,0.0,0.0,2.0407328604754582e-10,7.152727299342132e-10,9.023081171122271e-10,2.7670175040128697e-09,1.959630502312848e-08,1.3177903213090758e-09,1.0,3.5959495797710517e-11,7.156851999923219e-09,7.595949980121475e-10
11281,11281_7_horse.png,3c72cab5caf784d0753b54505f936641,7,7,1.0,1.0,0.0,0.0,1.5482206627837058e-09,1.4102699563700583e-10,4.166063674593268e-11,3.6928377022960035e-10,1.64978093408763e-08,4.045609713898557e-08,7.158838105647547e-11,1.0,1.2352457945397077e-10,2.2910158492539523e-10
11399,11399_9_truck.png,1b475786ae50e4a7f885d3bdb0adc37b,9,9,1.0,1.0,0.0,0.0,7.538986795951885e-12,3.75195963187025e-09,3.6540286448743034e-14,7.389232997180584e-13,8.305457050458796e-15,5.5998760993937816e-14,1.717051387141108e-13,1.5887792925890765e-13,4.133950473605985e-11,1.0
11469,11469_7_horse.png,4b78799ba5aef2f06cabb0bed1736675,7,7,1.0,1.0,0.0,0.0,3.0588918065177495e-09,1.405707217294605e-10,7.679989977305013e-11,1.669197696729796e-10,5.690105275846236e-09,6.218680681513433e-09,5.314897966179899e-10,1.0,1.5426546151608989e-10,3.74557967974809e-10
11634,11634_6_frog.png,fe35ccdf0feeb7a2c04484f580e5eadd,6,6,1.0,1.0,0.0,0.0,1.4361717370903193e-10,4.5777975854477404e-10,4.59925075801948e-09,1.5086915050588345e-09,2.997879944288684e-09,4.392636809846806e-10,1.0,2.351602246264406e-11,4.4717296532326145e-09,1.7677112551517382e-10
11684,11684_2_bird.png,89c03ded1b83bd8b92ded135cbd910be,2,2,1.0,1.0,0.0,0.0,7.160211090706525e-09,2.7357328208355014e-11,1.0,6.316655531968252e-10,1.6943660918755654e-09,3.55420368691739e-08,1.922527204101243e-08,1.6882214737279355e-08,6.694585996669389e-10,8.807621298956292e-11
11798,11798_8_ship.png,993631a2ed5eecc989dea7699002c2c5,8,8,1.0,1.0,0.0,0.0,2.185004532861967e-08,5.965522298367887e-09,2.1568016261852563e-09,1.688622436324394e-10,8.549756735920511e-11,8.561407832674561e-11,4.135415565542644e-08,1.5559196986369983e-10,1.0,1.380855874089093e-09
11906,11906_8_ship.png,75af8d7cc8502eec032685dc9a1099e1,8,8,1.0,1.0,0.0,0.0,3.324865005538413e-08,2.036806279193115e-09,1.6815034087347414e-10,8.291166364582381e-11,3.048493679713715e-10,4.146063353749341e-11,3.7320516121930325e-10,3.644818127868099e-11,1.0,2.034445722998157e-09
12081,12081_6_frog.png,a14c50b20fa2cd6b0763c11d230c0fb9,6,6,1.0,1.0,0.0,0.0,2.274775701138765e-09,9.667584510708593e-10,3.7353885318225366e-08,6.798043017397504e-09,1.0051988130754808e-09,1.8795460743348258e-09,1.0,1.788654224732511e-10,2.460327497288972e-09,3.4548259808531157e-09
12107,12107_2_bird.png,d3bd294cc62719d514fdac11f426413a,2,2,1.0,1.0,0.0,0.0,4.783793361440303e-10,1.3953526702137342e-11,1.0,5.015979454014996e-08,1.968992302536776e-09,3.412576887740215e-09,4.0363374864682555e-08,1.8543245827729038e-09,4.4474898430735266e-08,5.6336092041364694e-11
12233,12233_8_ship.png,506364c97d3b76de52b3c4628da3d8c2,8,8,1.0,1.0,0.0,0.0,1.1150102174894982e-08,4.217556526242561e-09,2.520388120430539e-09,9.521856220162661e-11,9.183193094841613e-11,3.886608535008662e-10,5.420800475164356e-10,3.5070080173227325e-10,1.0,1.9144255958281065e-08
12347,12347_9_truck.png,2a478897f87a61327ba2438728e3e6a2,9,9,1.0,1.0,0.0,0.0,7.017565972766704e-10,4.245557150284185e-08,6.343234965067168e-12,1.3182415228851774e-11,1.0116097412873892e-12,3.358171813544475e-12,2.8441096699971524e-11,5.5723849146094295e-11,9.086030261507005e-10,1.0
12348,12348_1_automobile.png,66e45ad9e7817135dbd9d38eae22cd6a,1,1,1.0,1.0,0.0,0.0,5.979770567599019e-10,1.0,2.404404626787926e-11,1.1341498053207832e-11,2.906063237273493e-11,3.279218216412083e-11,1.531297866286252e-10,1.709880292910526e-10,1.2891367084932881e-08,2.0078628537589793e-08
